identifier	name	link
0000336	pseudogene	https://flybase.org/reports/0000336
0001217	protein_coding_gene	https://flybase.org/reports/0001217
0001263	ncRNA_gene	https://flybase.org/reports/0001263
0001265	miRNA_gene	https://flybase.org/reports/0001265
0001267	snoRNA_gene	https://flybase.org/reports/0001267
0001268	snRNA_gene	https://flybase.org/reports/0001268
0001269	SRP_RNA_gene	https://flybase.org/reports/0001269
0001272	tRNA_gene	https://flybase.org/reports/0001272
0001637	rRNA_gene	https://flybase.org/reports/0001637
0001639	RNase_P_RNA_gene	https://flybase.org/reports/0001639
0001640	RNase_MRP_RNA_gene	https://flybase.org/reports/0001640
0002127	lncRNA_gene	https://flybase.org/reports/0002127
0002182	antisense_lncRNA_gene	https://flybase.org/reports/0002182
